x,y,z
1500,0,4000
1499.971677,11.84101575,4000
1499.836151,23.68118593,4000
1499.593426,35.51966351,4000
1499.243518,47.35560164,4000
1498.786447,59.18815358,4000
1498.222242,71.0164729,4000
1497.550941,82.83971342,4000
1496.772588,94.65702934,4000
1495.887234,106.4675753,4000
1494.894939,118.2705064,4000
1493.795772,130.0649783,4000
1492.589806,141.8501473,4000
1491.277124,153.6251702,4000
1489.857817,165.3892048,4000
1488.331983,177.1414094,4000
1486.699727,188.8809434,4000
1484.961161,200.606967,4000
1483.116408,212.3186412,4000
1481.165595,224.0151282,4000
1479.108857,235.6955914,4000
1476.94634,247.3591952,4000
1474.678193,259.005105,4000
1472.304574,270.632488,4000
1469.825652,282.2405121,4000
1467.241598,293.8283471,4000
1464.552594,305.395164,4000
1461.758828,316.9401352,4000
1458.860498,328.462435,4000
1455.857806,339.961239,4000
1452.750964,351.4357245,4000
1449.540191,362.8850709,4000
1446.225711,374.308459,4000
1442.807759,385.7050715,4000
1439.286576,397.0740933,4000
1435.66241,408.4147109,4000
1431.935515,419.7261131,4000
1428.106157,431.0074908,4000
1424.174603,442.2580367,4000
1420.141133,453.4769462,4000
1416.006031,464.6634167,4000
1411.769589,475.8166477,4000
1407.432107,486.9358416,4000
1402.99389,498.0202028,4000
1398.455254,509.0689384,4000
1393.816519,520.081258,4000
1389.078013,531.0563737,4000
1384.240072,541.9935004,4000
1379.303037,552.8918557,4000
1374.26726,563.7506599,4000
1369.133095,574.5691363,4000
1363.900907,585.3465108,4000
1358.571067,596.0820125,4000
1353.143952,606.7748734,4000
1347.619947,617.4243284,4000
1341.999444,628.0296158,4000
1336.28284,638.5899769,4000
1330.470542,649.1046562,4000
1324.562961,659.5729014,4000
1318.560516,669.9939637,4000
1312.463634,680.3670976,4000
1306.272747,690.6915609,4000
1299.988294,700.9666152,4000
1293.610721,711.1915252,4000
1287.140482,721.3655596,4000
1280.578035,731.4879904,4000
1273.923846,741.5580936,4000
1267.178388,751.5751487,4000
1260.34214,761.538439,4000
1253.415587,771.4472519,4000
1246.399222,781.3008785,4000
1239.293542,791.0986137,4000
1232.099054,800.8397568,4000
1224.816267,810.5236107,4000
1217.4457,820.1494828,4000
1209.987877,829.7166844,4000
1202.443327,839.2245311,4000
1194.812587,848.6723426,4000
1187.096199,858.0594431,4000
1179.294713,867.385161,4000
1171.408682,876.6488291,4000
1163.438667,885.8497847,4000
1155.385236,894.9873697,4000
1147.248961,904.0609302,4000
1139.030421,913.0698171,4000
1130.730201,922.013386,4000
1122.34889,930.890997,4000
1113.887086,939.702015,4000
1105.34539,948.4458096,4000
1096.724411,957.1217554,4000
1088.024761,965.7292316,4000
1079.24706,974.2676224,4000
1070.391932,982.736317,4000
1061.460009,991.1347096,4000
1052.451925,999.4621993,4000
1043.368322,1007.71819,4000
1034.209847,1015.902092,4000
1024.977152,1024.013319,4000
1015.670893,1032.051291,4000
1006.291735,1040.015433,4000
996.8403437,1047.905174,4000
987.3173935,1055.719952,4000
977.7235622,1063.459206,4000
968.0595333,1071.122383,4000
958.3259949,1078.708935,4000
948.5236405,1086.218318,4000
938.6531683,1093.649996,4000
928.7152815,1101.003437,4000
918.7106881,1108.278116,4000
908.640101,1115.47351,4000
898.5042375,1122.589106,4000
888.3038201,1129.624395,4000
878.0395755,1136.578873,4000
867.7122352,1143.452043,4000
857.3225353,1150.243413,4000
846.871216,1156.952497,4000
836.3590225,1163.578815,4000
825.7867038,1170.121894,4000
815.1550137,1176.581264,4000
804.46471,1182.956464,4000
793.7165548,1189.247038,4000
782.9113143,1195.452535,4000
772.0497588,1201.572513,4000
761.1326627,1207.606532,4000
750.1608045,1213.554161,4000
739.1349665,1219.414975,4000
728.0559348,1225.188555,4000
716.9244995,1230.874487,4000
705.7414544,1236.472364,4000
694.5075971,1241.981786,4000
683.2237287,1247.402359,4000
671.890654,1252.733695,4000
660.5091813,1257.975413,4000
649.0801225,1263.127138,4000
637.6042928,1268.1885,4000
626.0825107,1273.159138,4000
614.5155983,1278.038697,4000
602.9043807,1282.826826,4000
591.2496862,1287.523184,4000
579.5523464,1292.127435,4000
567.8131959,1296.639249,4000
556.0330721,1301.058303,4000
544.2128158,1305.384282,4000
532.3532703,1309.616875,4000
520.4552819,1313.75578,4000
508.5196996,1317.8007,4000
496.5473753,1321.751347,4000
484.5391634,1325.607438,4000
472.4959208,1329.368696,4000
460.4185072,1333.034853,4000
448.3077845,1336.605646,4000
436.1646172,1340.080821,4000
423.9898721,1343.460127,4000
411.7844181,1346.743324,4000
399.5491267,1349.930176,4000
387.2848713,1353.020456,4000
374.9925274,1356.013942,4000
362.6729725,1358.91042,4000
350.3270863,1361.709684,4000
337.9557502,1364.411531,4000
325.5598475,1367.015771,4000
313.1402634,1369.522215,4000
300.6978846,1371.930685,4000
288.2335996,1374.241008,4000
275.7482985,1376.453019,4000
263.242873,1378.56656,4000
250.718216,1380.581479,4000
238.1752221,1382.497633,4000
225.614787,1384.314883,4000
213.037808,1386.033101,4000
200.4451832,1387.652163,4000
187.8378121,1389.171954,4000
175.2165954,1390.592363,4000
162.5824344,1391.913291,4000
149.9362318,1393.134642,4000
137.278891,1394.256329,4000
124.6113161,1395.278272,4000
111.9344122,1396.200397,4000
99.24908487,1397.022639,4000
86.55624056,1397.744939,4000
73.85678609,1398.367244,4000
61.15162885,1398.889511,4000
48.44167668,1399.311701,4000
35.72783776,1399.633786,4000
23.0110206,1399.855741,4000
10.29213395,1399.977551,4000
-2.427913267,1399.999207,4000
-15.14821201,1399.920707,4000
-27.8678532,1399.742058,4000
-40.58592776,1399.463271,4000
-53.3015267,1399.084367,4000
-66.01374119,1398.605372,4000
-78.7216626,1398.026321,4000
-91.42438257,1397.347256,4000
-104.1209931,1396.568225,4000
-116.8105866,1395.689283,4000
-129.4922559,1394.710494,4000
-142.1650944,1393.631927,4000
-154.8281962,1392.453659,4000
-167.4806559,1391.175776,4000
-180.1215689,1389.798367,4000
-192.7500314,1388.321533,4000
-205.3651405,1386.745377,4000
-217.9659941,1385.070014,4000
-230.5516912,1383.295562,4000
-243.1213319,1381.422149,4000
-255.6740173,1379.449909,4000
-268.2088498,1377.378982,4000
-280.7249328,1375.209518,4000
-293.2213713,1372.94167,4000
-305.6972715,1370.575602,4000
-318.1517412,1368.111483,4000
